ESTADO,P',P,V,A,LV,D,TIPO,L,ES,ARG,CMD,LD,OPRD,COND,CAB,CP,EXP_R,R,CABR,CPR
0,,1,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
2,,,3,,,,,,,,,,,,,,,,,
3,,,,5,,,,,7,,10,,,11,12,,,14,15,
4,,,,,19,18,21,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,
7,,,,26,,,,,7,,10,,,11,12,,,14,15,
8,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,29,,,,,,,,,,
10,,,,32,,,,,7,,10,,,11,12,,,14,15,
11,,,,33,,,,,7,,10,,,11,12,,,14,15,
12,,,,,,,,,34,,35,,,36,12,37,,,,
13,,,,,,,,,,,,,,,,,,,,
14,,,,40,,,,,7,,10,,,11,12,,,14,15,
15,,,,,,,,,41,,42,,,43,12,,,,,44
16,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,,,,,47,18,21,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,49,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,53,54,,,,,,,
26,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,34,,35,,,36,12,57,,,,
35,,,,,,,,,34,,35,,,36,12,58,,,,
36,,,,,,,,,34,,35,,,36,12,59,,,,
37,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,60,,,,61,,,
40,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,41,,42,,,43,12,,,,,62
42,,,,,,,,,41,,42,,,43,12,,,,,63
43,,,,,,,,,41,,42,,,43,12,,,,,64
44,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,60,,,,65,,,
47,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,73,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,74,,,,,,,
70,,,,,,,,,,,,,75,,,,,,,
71,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,